Funds,Classification,Fund Manager,Fund Type,Benchmark Index,AUM(In Rs. Cr),Expenseratio (%),NAV,Return (%)1 Yr,Return (%)3 Yrs,Return (%)5 Yrs,Return (%)10 Yrs,Turnover Ratio (%),Avg. Market Cap(In Rs. Cr),Avg. Maturity(In Yrs),Modified Duration(In Yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,Fund Age (Years)
360 ONE Balanced Hybrid FundNAReg(G),Hybrid : Equity Oriented,Mayur Patel,Open Ended,NIFTY 50 Hybrid Composite Debt 50:50 Index,838.3,1.99,12.29,9.35,12.555,15.835,10.335,60.0,94950,3.09,2.595,7.26,0.33,0.36,0.77,0.52,7.23,1
360 ONE Dynamic Bond FundNAReg(G),Debt : Dynamic Bond,Milan Mody,Open Ended,CRISIL Dynamic Bond Index,723.9,0.52,22.45,11.21,7.68,7.25,6.97,0.0,160311,6.4,2.595,7.27,0.15,0.49,1.0,0.86,1.99,11
360 ONE ELSS Tax Saver Nifty 50 Index FundNAReg(G),Equity : Tax Saving (ELSS),Ashish Ongari,Open Ended,NIFTY 50 NA TRI,79.4,0.52,13.54,8.24,12.555,15.835,10.335,6.0,545920,3.105,2.595,7.065,0.15,0.24,0.5,0.99,11.35,2
360 ONE Flexicap FundNAReg(G),Equity : Flexi Cap,Mayur Patel,Open Ended,BSE 500 NA TRI,1445.3,2.1,14.23,8.93,12.555,15.835,10.335,26.0,96377,3.105,2.595,7.065,0.29,0.31,0.6,1.04,14.89,1
360 ONE Focused Equity FundNAReg(G),Equity : Multi Cap,Mayur Patel,Open Ended,BSE 500 NA TRI,6729.5,1.76,44.79,3.82,16.26,23.62,15.4,32.0,160311,3.105,2.595,7.065,0.12,0.22,0.41,0.93,13.97,10
360 ONE Gold ETF,Gold : ETFs,Rahul Ranjan,Open Ended,GoldNAIndia,14.2,0.43,93.2,8.43,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
360 ONE Liquid FundNAReg(G),Debt : Liquid,Milan Mody,Open Ended,CRISIL Liquid Debt Index,1016.8,0.32,1989.96,7.11,6.67,5.22,5.87,0.0,160311,0.12,2.595,7.02,0.15,2.48,0.98,1.09,0.29,11
360 ONE Quant FundNAReg(G),Equity : Thematic,Ashish Ongari,Open Ended,BSE 200 NA TRI,631.7,1.99,18.48,10.19,23.55,15.835,10.335,62.0,118259,3.105,2.595,7.065,0.45,0.28,0.54,1.2,17.76,3
360 ONE Silver ETF,Gold : ETFs,Rahul Khetawat,Open Ended,Silver,6.8,0.41,94.14,8.43,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Aditya Birla SL Arbitrage Fund(G),Hybrid : Arbitrage,Lovelish Solanki,Open Ended,Nifty 50 Arbitrage NA TRI,14236.1,1.01,26.32,7.35,6.66,5.42,5.79,1230.0,185148,1.06,0.79,7.43,0.21,1.22,0.97,0.94,0.58,15
Aditya Birla SL Asset Allocator FoF(G),FoFs : Domestic,Vinod Narayan Bhat,Open Ended,CRISIL Hybrid 50+50 NA Moderate Index,195.4,1.19,64.63,10.33,14.97,17.98,11.96,20.84,160311,3.105,2.595,7.065,0.4,0.31,0.69,0.6,8.64,18
Aditya Birla SL Bal Bhavishya YojnaNAReg(G),Hybrid : Solution Oriented,Chanchal Khandelwal,Open Ended,NIFTY 500 NA TRI,1025.4,2.19,18.51,2.82,11.96,14.5,10.335,50.0,121223,3.105,2.595,7.065,0.15,0.15,0.27,0.94,14.09,6
Aditya Birla SL Balanced Advantage Fund(G),Hybrid : Dynamic Asset Allocation,Harish krishnan,Open Ended,CRISIL Hybrid 50+50 NA Moderate Index,7321.4,1.81,103.18,10.93,12.79,15.46,11.08,314.0,156554,4.48,3.38,7.43,0.27,0.29,0.63,0.55,7.4,24
Aditya Birla SL Banking & Financial Services FundNAReg(G),Equity : Sectoral NA Financial Services,Dhaval Gala,Open Ended,Nifty Financial Services NA TRI,3248.5,2.0,58.71,11.16,17.12,23.12,13.67,16.0,272921,3.105,2.595,7.065,0.05,0.2,0.4,0.96,16.04,11
Aditya Birla SL Banking & PSU Debt(G),Debt : Banking & PSU,Kaustubh Gupta,Open Ended,NIFTY Banking and PSU Debt Index,8588.2,0.73,364.17,9.52,7.08,6.75,7.61,0.0,160311,4.75,3.52,7.22,0.12,0.68,0.98,0.34,1.21,16
Aditya Birla SL BSE India Infrastructure Index FundNAReg(G),Equity : Sectoral NA Infrastructure,Priya Sridhar,Open Ended,BSE India Infrastructure Index NA TRI,33.4,1.07,8.88,8.43,12.555,15.835,10.335,20.84,131335,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Aditya Birla SL BSE Sensex ETF,Equity : ETFs,Priya Sridhar,Open Ended,BSE SENSEX NA TRI,323.8,0.04,79.48,8.71,13.33,20.19,10.335,20.84,669849,3.105,2.595,7.065,0.15,0.17,0.35,1.0,12.76,8
